"Kingdom","Phylum","Class","Subclass","Infraclass","Subterclass","Superorder","Order","Superfamily","Family","Genus","Species","Subfamily","Tribe","Subphylum","Suborder","Superclass","Subgenus","Infraorder","Parvorder","Subspecies","Infraphylum","Parvphylum","Gigaclass","Section","Subsection","Flokkun","id","N","Artal","skipting","stod","Nu","A","worms"
"Animalia","Mollusca","Bivalvia","Autobranchia","Heteroconchia","Euheterodonta","Imparidentia","Venerida","Arcticoidea","Arcticidae","Arctica","Arctica islandica",,,,,,,,,,,,,,,"Arctica islandica","B8A",2,2017,4,"B8",8,"138802",138802
"Animalia","Mollusca","Bivalvia","Autobranchia","Heteroconchia","Euheterodonta","Imparidentia","Venerida","Arcticoidea","Arcticidae","Arctica","Arctica islandica",,,,,,,,,,,,,,,"Arctica islandica","B5",4,1999,1,"B5",4,"138802",138802
"Animalia","Mollusca","Bivalvia","Autobranchia","Heteroconchia","Euheterodonta","Imparidentia","Venerida","Arcticoidea","Arcticidae","Arctica","Arctica islandica",,,,,,,,,,,,,,,"Arctica islandica","B8C",1,2017,4,"B8",4,"138802",138802
"Animalia","Mollusca","Bivalvia","Autobranchia","Heteroconchia","Euheterodonta","Imparidentia","Venerida","Arcticoidea","Arcticidae","Arctica","Arctica islandica",,,,,,,,,,,,,,,"Arctica islandica","E3C",1,2017,4,"E3",4,"138802",138802
"Animalia","Mollusca","Bivalvia","Autobranchia","Heteroconchia","Euheterodonta","Imparidentia","Venerida","Arcticoidea","Arcticidae","Arctica","Arctica islandica",,,,,,,,,,,,,,,"Arctica islandica","E4A",1,2017,4,"E4",4,"138802",138802
"Animalia","Mollusca","Bivalvia","Autobranchia","Heteroconchia","Euheterodonta","Imparidentia","Venerida","Arcticoidea","Arcticidae","Arctica","Arctica islandica",,,,,,,,,,,,,,,"Arctica islandica","U2C",1,2013,1,"U2",1,"138802",138802
"Animalia","Mollusca","Bivalvia","Autobranchia","Heteroconchia","Euheterodonta","Imparidentia","Venerida","Arcticoidea","Arcticidae","Arctica","Arctica islandica",,,,,,,,,,,,,,,"Arctica islandica","U2B",3,2013,1,"U2",3,"138802",138802
"Animalia","Mollusca","Bivalvia","Autobranchia","Heteroconchia","Euheterodonta","Imparidentia","Venerida","Arcticoidea","Arcticidae","Arctica","Arctica islandica",,,,,,,,,,,,,,,"Arctica islandica","E4B",2,2017,4,"E4",8,"138802",138802
"Animalia","Mollusca","Bivalvia","Autobranchia","Heteroconchia","Euheterodonta","Imparidentia","Venerida","Arcticoidea","Arcticidae","Arctica","Arctica islandica",,,,,,,,,,,,,,,"Arctica islandica","E4B",1,2015,4,"E4",4,"138802",138802
"Animalia","Mollusca","Bivalvia","Autobranchia","Heteroconchia","Euheterodonta","Imparidentia","Venerida","Arcticoidea","Arcticidae","Arctica","Arctica islandica",,,,,,,,,,,,,,,"Arctica islandica","E3C",1,2014,1,"E3",1,"138802",138802
